"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"509944449229946880","","","2014-09-11 06:00:05 +0000","<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","#Haderthauer #Bayern-Amigos: Top Story http://t.co/aTs1J7i1kg","","","","http://tweetedtimes.com/search/%23Haderthauer%20OR%20Haderthauer/de?s=rgp"
"509757731977592832","","","2014-09-10 17:38:08 +0000","<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","#Haderthauer #Amigos-#Bayern Top Story: TROTZ ERMITTLUNGEN UND ZIVILKLAGE – EIN… http://t.co/9DfOQ5Pey6, see more http://t.co/pb3QVg5aVL","","","","http://behoerdenstress13.com/2014/09/10/trotz-ermittlungen-und-zivilklage-ein-anwalt-klagt-an-warum-darf-haderthauer-noch-als-gutachter-arbeiten,http://tweetedtimes.com/search/%23Haderthauer%20OR%20Haderthauer/de?s=tnp"
"509741300942254080","","","2014-09-10 16:32:51 +0000","<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","Frisch gedruckt! Ausgabe #Haderthauer (CSU) - Modellauto-Affäre - ist fertig http://t.co/4FMHKBkulF https://t.co/yu4xvb2652","","","","http://paper.li/Muschelschloss/1406309502,https://www.rebelmouse.com/Muschelschloss/Haderthauer/"
"509631641132597249","","","2014-09-10 09:17:06 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","#Bayern - Plenarsondersitzung Bayerischer Landtag zur Entlassung von Staatsministerin Christine #Haderthauer (#CSU) http://t.co/daKFyiaHxO","","","","http://katharina-schulze.de/event/plenarsondersitzung-zur-entlassung-von-frau-staatsministerin-christine-haderthauer/"
"509608739444621312","509608052849672192","125570941","2014-09-10 07:46:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ergebnis Strafverfahren wird dann in #Haderthauer-Disziplinarverfahren berücksichtigt/übernommen @No1de @UrsulaGresser2 @CSU @KaiDiekmann","","","",""
"509608372149452800","509608052849672192","125570941","2014-09-10 07:44:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wenn strafrechtl. Ermittlung beendet sind, geht Hubert #Haderthauer-Disziplinarverfahren weiter. @No1de @UrsulaGresser2 @CSU @KaiDiekmann","","","",""
"509608052849672192","509607483657445376","94613577","2014-09-10 07:43:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#Haderthauer-Disziplinarverfahren wurde ausgesetzt, um Ergebnis strafrechtl. Ermittlung abzuwarten. @No1de @UrsulaGresser2 @CSU @KaiDiekmann","","","",""
"509606207066505217","509605964778319872","94613577","2014-09-10 07:36:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soviel ich weiß läuft das Disziplinarverfahren gegen Hubert #Haderthauer immer noch. #Beamter @No1de @UrsulaGresser2 @CSU @KaiDiekmann","","","",""
"509598282939924480","509597969340198912","125570941","2014-09-10 07:04:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@No1de Landesanwaltschaft ist oberste Disziplinarbehörde für Beamte. #Haderthauer Hubert ist Beamter -  @UrsulaGresser2 @CSU","","","",""
"509597969340198912","509596909275983872","125570941","2014-09-10 07:03:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@No1de Hubert #Haderthauer ist Beamter http://t.co/HFP3VmUk94  @UrsulaGresser2 @CSU","","","","http://ingolstadt-today.de/lesen--neue-vorwuerfe-gegen-hubert-haderthauer%5B2112%5D.html"
